id	status	date	source
9905734	1	2018/12/13	android
10096492	1	2018/12/13	android
11500409	1	2018/12/13	IOS
13867194	1	2018/12/13	android
13941663	1	2018/12/13	IOS
33340137	1	2018/12/13	android
38175464	1	2018/12/13	android
41347356	1	2018/12/13	android
44441819	1	2018/12/13	android
45019240	1	2018/12/13	IOS
45107813	1	2018/12/13	IOS
37670415	1	2018/12/1	IOS
9943263	1	2018/12/1	android
10298547	1	2018/12/2	android
11331684	1	2018/12/1	android
11331684	1	2018/12/1	android
13393735	1	2018/12/1	IOS
15565306	1	2018/12/1	android
17323032	1	2018/12/1	android
17532899	1	2018/12/2	android
20662787	1	2018/12/2	IOS
32894444	1	2018/12/1	android
33833802	1	2018/12/1	android
37038818	1	2018/12/1	android
42051878	1	2018/12/2	IOS
42385168	1	2018/12/1	android
43551292	1	2018/12/2	IOS
43935400	1	2018/12/1	android
44269594	1	2018/12/1	IOS
44396993	1	2018/12/1	android
44463868	1	2018/12/1	android
6980019	1	2018/12/1	IOS
9667132	1	2018/12/1	android
9707952	1	2018/12/1	IOS
9793852	1	2018/12/1	IOS
9943263	1	2018/12/1	android
10372937	1	2018/12/1	android
10413661	1	2018/12/1	android
10868064	1	2018/12/1	android
10994435	1	2018/12/1	android
12256909	1	2018/12/1	android
12267599	1	2018/12/1	android
12536184	1	2018/12/1	android
12655791	1	2018/12/2	IOS
12778105	1	2018/12/1	android
13077995	1	2018/12/1	android
13885303	1	2018/12/1	android
13907682	1	2018/12/2	IOS
13907682	1	2018/12/2	IOS
13907682	1	2018/12/2	IOS
13907682	1	2018/12/2	IOS
13907682	1	2018/12/2	IOS
15108242	1	2018/12/2	android
15287627	1	2018/12/1	android
16119087	1	2018/12/1	android
17393924	1	2018/12/1	android
17627297	1	2018/12/2	android
19875852	1	2018/12/1	IOS
20022206	1	2018/12/1	android
20023221	1	2018/12/1	IOS
20493425	1	2018/12/1	android
20527919	1	2018/12/1	android
20801670	1	2018/12/2	IOS
20815817	1	2018/12/2	android
32615552	1	2018/12/1	android
32878191	1	2018/12/1	android
33591105	1	2018/12/1	android
35421620	1	2018/12/1	android
36687398	1	2018/12/1	android
37038818	1	2018/12/1	android
37642588	1	2018/12/1	android
39709808	1	2018/12/1	IOS
40615454	1	2018/12/1	android
40747815	1	2018/12/1	android
40747815	1	2018/12/1	android
41864572	1	2018/12/2	android
42439242	1	2018/12/2	android
42439242	1	2018/12/2	android
42439242	1	2018/12/2	android
42470479	1	2018/12/1	android
